# of Events	Location	Team Name	Nickname	Team #	OPR Rank	Max OPR	ChampionshipDivision	CentralIllinois	Palmetto	Alamo	GreaterTorontoWest	InlandEmpire	MICenterLine	MISouthfield	NEGraniteState	PNWAuburnMountainview	MARMtOlive	MARHatboroHorsham	Israel	GreaterTorontoEast	Arkansas	SanDiego	Crossroads	LakeSuperior	NorthernLights	HubCity	NEUNH	CentralValley	MIKetteringU	MIGullLake	PNWOregonCity	PNWGlacierPeak	NEGroton	MexicoCity	Sacramento	Orlando	GreaterKansasCity	St.Louis	NorthCarolina	NewYorkTechValley	Dallas	Utah	NEWPI	MIEscanaba	MIHowell	MARSpringsideChestnutHill	PNWEasternWashingtonU	PNWMt.Vernon	MARClifton	Waterloo	Montreal	Arizona	LosAngeles	Boilermaker	Buckeye	Virginia	Wisconsin	MIWestMichigan	MIGreatLakesBayRegion	MITraverseCity	PNWWilsonville	NERhodeIsland	PNWShorewood	NESouthington	MARLenape-Seneca	NorthBay	Peachtree	Hawaii	Minnesota10000Lakes	MinnesotaNorthStar	SBPLILongIsland	FingerLakes	QueenCity	Oklahoma	GreaterPittsburgh	SmokyMountains	GreaterDC	NENortheasternU	MILivonia	MISt.Joseph	MIWaterford	PNWAuburn	PNWCentralWashingtonU	NEHartford	MARBridgewaterRaritan	WesternCanada	WindsorEssexGreatLakes	SiliconValley	Colorado	SouthFlorida	Midwest	Bayou	Chesapeake	LasVegas	NewYorkCity	LoneStar	NEPineTree	MiLansing	MIBedford	MITroy	PNWOregonStateU	NewEnglandRegion	MichiganState	AutodeskPNW	MidAtlanticRegion	Archimedes	Curie	Galileo	Newton
																																																																																																													
3	Honolulu, HI USA	"Hawaiian Electric Company / RHT Enterprises / Leidos / Eyvinne C. ""Pony"" Lee / McKinley Alumni Association / BAE Systems & McKinley High School"	Team Kika Mana	368	43	99.2	Newton																																																													99.2284102020816																				89.9887873201787																					80.9525726649274
3	Mauldin, SC USA	Jean Aldridge / Synnex / Greenville County Schools / Hendricks Fabrication / Greenville Technical College / DunRight Services / aeSolutions / Advance SC & Mauldin High School & Hillcrest High School & Brashier Middle College Charter High School	Flash	1319	44	99.1			36.4525845419159																																																										99.0541507063713																									80.14673909545																	
2	Hammond, IN USA	School City of Hammond/Caterpillar/City of Hammond & School City of Hammond	Team Hammond	71	45	99.0																	57.4125440155661																																																																				98.9935608031147																		
4	Holland, MI USA	World Class Prototypes/Johnson Controls/Metal Flow/Agritek/Twisthink & Holland Christian High School	Team R.O.B.O.T.I.C.S.	107	46	98.9								74.508821727339																														98.9429641149304														65.6063371758356																																													81.5003507072332						
1	Sugar Hill, GA USA	NASA/Meggitt Training Systems/Nordson Corp./Laser Craft, Inc/Gwinnett County Public Schools & Lanier High School	Mechanical Bulls	4509	47	98.6164398193359																																																													98.616438359473																																										
3	Marshall, VA USA	TE Connectivity / General Dynamics / SAIC & Fresta Valley Christian High School	Fresta Valley Robotics Club	1731	48	97.6	Newton																																																57.2171940544506																						97.6049581292437																																53.6659450168612
4	Southington, CT USA	United Technologies / Mohawk Northeast / Conveyco / Pyramid Technologies / Plainville Electrical Products Company / Tiger Enterprises / Saucier Mechanical Services & Southington High School	Cyber Knights	195	49	97.6	Archimedes																										60.0643716239944																															97.5518982606974																																						96.6249011128142				94.6106812085236			
5	Grand Blanc, MI USA	General Motors / Premier Tooling Systems / Chrysler Foundation / Davison Tool & Engineering, L.L.C. / UnyPOS Manufacturing / Katcon USA / The Robot Space & Grand Blanc High School	EngiNERDs	2337	50	97.1	Galileo																						71.3925442859855																																																			77.8121114420218																				70.6735305192971			97.0708979561942					80.3446262961848	
2	Waterford, MI USA	General Motors Foundation / Advanced Defense Vehicle Systems / Alro Steel / Diversified Fabrications / Ellsworth Tools / Federal Mogul / Michigan Department of Education / Paulson's Audio & Video / Property Care Inc. & Waterford Mott High School	The Corsairs	2612	51	96.9																																							19.0390794157427																																				96.8879105582433																												
3	Newport News, VA USA	US Army Research Laboratory / NASA / The Boeing Company / NDEP / SPAWAR Systems Center Atlantic / Booz Allen Hamilton / BAE Systems Norfolk Ship Repair / RichTech's Women in Technology & Menchville High School	Triple Helix	2363	52	96.5	Galileo																																																	66.76666605114																																					96.4918444516342															62.6969444624881	
